,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
1861,LiVF5,1.9205999999999999,5.27747400,6.01972800,12.77857100,90.00000000,90.00000000,90.00000000
1862,FeOF,1.9183,3.96468500,6.29873718,6.29876461,89.87942373,90.00024072,89.99971152
1863,Li4VF8,1.9347,6.08210500,5.17624600,5.27266562,67.87841527,90.00000000,90.00000000
1864,Zr7VO16,1.9248000000000003,7.27948206,7.30463437,12.76197279,104.06454572,73.39863053,119.83652709
1865,Li4VCr3O8,1.9163999999999994,5.11719089,5.18136515,5.94303518,73.32030700,89.99526692,80.80447722
1866,Li2VF6,1.9324000000000001,4.94685963,4.94685963,4.50472200,90.00000000,90.00000000,119.99999503
1867,LiFe2(PO4)2,1.9143,4.55117500,5.20760688,7.69783861,88.52633218,102.63135204,104.04444096
1868,LuWO4,1.9285999999999994,5.72255600,5.06676200,5.24400164,84.87229991,90.00000000,90.00000000
1869,Li4Co3WO8,1.9311999999999996,6.00948516,6.00948516,6.00948489,60.53831348,60.53831348,60.53831916
1870,P2WO8,1.9197000000000002,7.20665200,5.24462600,9.51934963,57.30760628,90.00000000,90.00000000
1871,Li3Fe4(OF3)3,1.9446000000000003,5.98986100,5.99895375,6.03112413,98.69825260,99.10400302,98.84908120
1872,Li2NiO2,1.938,3.07112000,3.07108664,6.64970966,76.64813396,89.99993952,59.99969957
1873,CsInO2,1.9414999999999996,3.47276104,3.47276104,13.47895100,90.00000000,90.00000000,119.99998163
1874,Li4CoO3F,1.9325,5.37099408,10.74545781,6.69618200,90.00013482,90.00011697,94.19040399
1875,Li4Mn(WO4)3,1.9187000000000003,7.12936357,10.22223545,7.30299899,69.53919482,91.19287127,70.04258308
1876,Li2CrFeO4,1.9368000000000003,5.11403300,5.92958886,7.83227562,79.01172643,77.50814256,73.42268080
1877,Na2MnO3,1.9374,5.29070399,5.29070399,5.69912674,80.80972355,80.80972355,120.02703350
1878,LiV2F9,1.9104,5.03422400,8.48900302,8.91914993,111.77246683,93.05925187,100.24091010
1879,Li3V(TeO3)4,1.9268,5.51790600,6.22886306,8.07051917,95.29923221,91.94101846,95.98252425
1880,LiCuSi2O5,1.9407999999999999,4.93629000,5.73663500,7.97171785,73.01532959,90.00000000,90.00000000
1881,WSCl4,1.9441,6.70866000,7.94664120,8.07220081,101.24272817,94.13640175,93.26261461
1882,Li2AlNiO4,1.9405999999999999,5.36602600,4.98207500,8.11536360,52.09785934,90.00000000,90.00000000
1883,LiVSiO4,1.9255,9.33677658,5.63001787,6.39466545,106.04881219,104.20602430,80.27496617
1884,Li3TiCo3O8,1.9303999999999997,5.86380220,5.86380220,5.86380147,57.96213503,57.96213503,57.96213724
1885,Li3TiCr3O8,1.9097999999999997,5.88909407,10.26592124,5.99931033,106.68330503,60.60772170,106.66658618
1886,LiCrPO4,1.9348,5.12072600,9.24874900,6.44572100,90.00024834,89.99995096,89.99993546
1887,LiFeCO4,1.9253999999999998,3.16310900,9.34797800,9.35478600,90.00000000,90.00000000,90.00000000
1888,Li3Fe(PO4)2,1.9249999999999998,4.88038600,9.08468600,14.79660778,76.36684589,90.00000000,90.00000000
1889,Os(OF2)2,1.9089,5.02116127,5.02116127,27.87245700,90.00000000,90.00000000,119.99999032
1890,Li2V3P9O28,1.9385,7.06421600,9.16352624,9.28587832,111.47544951,109.82197634,98.87795315
